合约代码,更新时间,最新价,成交量,买价一,买量一,卖价一,卖量一,持仓量,成交金额
MA101,18:17:29.500,2242,1054042,2241,339,2242,85,728481,2.36316e+009
MA101,18:17:30.500,2241,1054075,2241,320,2242,76,728508,2.36324e+009
MA101,18:17:31.500,2241,1054078,2241,319,2242,80,728509,2.36324e+009
MA101,18:17:32.500,2242,1054161,2242,119,2243,140,728478,2.36343e+009
MA101,18:17:33.500,2242,1054162,2242,123,2243,150,728478,2.36343e+009
MA101,18:17:34.500,2242,1054162,2242,125,2243,151,728478,2.36343e+009
MA101,18:17:35.500,2242,1054224,2242,70,2243,195,728478,2.36357e+009
MA101,18:17:36.500,2243,1054321,2241,318,2243,204,728509,2.36379e+009
