合约代码,更新时间,最新价,成交量,买价一,买量一,卖价一,卖量一,持仓量,成交金额
fu2101,18:17:02.500,1926,1033356,1926,264,1927,373,245676,1.95815e+010
fu2101,18:17:03.0,1927,1033360,1926,267,1927,369,245673,1.95816e+010
fu2101,18:17:03.500,1927,1033362,1926,267,1927,367,245674,1.95816e+010
fu2101,18:17:04.0,1926,1033363,1926,268,1927,367,245675,1.95816e+010
fu2101,18:17:04.500,1927,1033364,1926,270,1927,369,245674,1.95816e+010
fu2101,18:17:05.0,1926,1033365,1926,269,1927,370,245674,1.95817e+010
fu2101,18:17:05.500,1927,1033367,1926,268,1927,370,245674,1.95817e+010
fu2101,18:17:06.0,1927,1033373,1926,270,1927,365,245679,1.95818e+010
